ID,len,Weight_g,Weight_lbs
1,475,1403,3.09308186
2,560,2542,5.60414404
3,536,1760,3.8801312
4,570,2494,5.49832228
5,600,2380,5.2469956
6,491,1497,3.30031614
7,608,2764,6.09356968
8,564,2232,4.92071184
9,568,2343,5.16542466
10,559,1904,4.19759648
11,476,,
12,525,1762,3.88454044
13,496,1280,2.8219136
14,543,1723,3.79856026
15,478,1203,2.65215786
16,521,2112,4.65615744
17,549,2340,5.1588108
18,532,1868,4.11823016
19,599,2640,5.8201968
20,600,2743,6.04727266
21,553,2110,4.6517482
22,510,1873,4.12925326
23,483,1434,3.16142508
24,611,2923,6.44410426
25,566,2230,4.9163026
26,514,1759,3.87792658
27,513,1937,4.27034894
28,601,2818,6.21261916
29,562,2469,5.44320678
30,651,4365,9.6231663
31,460,1327,2.92553074
32,557,2007,4.42467234
33,608,2974,6.55653988
34,465,1329,2.92993998
35,544,1684,3.71258008
36,529,1725,3.8029695
37,465,1191,2.62570242
38,481,1456,3.20992672
39,534,1784,3.93304208
40,505,1670,3.6817154
41,559,2232,4.92071184
42,517,1862,4.10500244
43,512,1923,4.23948426
44,565,2319,5.11251378
45,545,1856,4.09177472
46,501,1867,4.11602554
47,524,1938,4.27255356
48,518,1759,3.87792658
49,566,2358,5.19849396
50,511,1984,4.37396608
51,509,1840,4.0565008
52,570,2479,5.46525298
53,531,1937,4.27034894
54,525,1721,3.79415102
55,550,1701,3.75005862
56,666,3581,7.89474422
57,641,3762,8.29378044
58,496,1468,3.23638216
59,589,2984,6.57858608
60,472,1599,3.52518738
61,545,1914,4.21964268
62,479,1558,3.43479796
63,493,1737,3.82942494
64,528,1835,4.0454777
65,532,1972,4.34751064
66,564,2513,5.54021006
67,478,1631,3.59573522
68,487,1914,4.21964268
69,506,1544,3.40393328
70,513,1576,3.47448112
71,583,2315,5.1036953
72,546,2120,4.6737944
73,527,1796,3.95949752
74,676,3935,8.6751797
75,514,1722,3.79635564
76,591,2488,5.48509456
77,451,1335,2.9431677
78,480,1253,2.76238886
79,469,1232,2.71609184
80,505,1850,4.078547
81,509,1609,3.54723358
82,505,1779,3.92201898
83,508,1682,3.70817084
84,512,1735,3.8250157
85,602,3017,6.65133854
86,527,1916,4.22405192
87,611,2530,5.5776886
88,521,1597,3.52077814
89,498,1484,3.27165608
90,510,1810,3.9903622
91,625,3186,7.02391932
92,631,2751,6.06490962
93,494,1631,3.59573522
94,576,1957,4.31444134
95,511,1751,3.86028962
96,652,3998,8.81407076
97,545,2294,5.05739828
98,441,1071,2.36114802
99,484,1646,3.62880452
100,494,1643,3.62219066
101,485,1482,3.26724684
102,601,2390,5.2690418
103,630,3044,6.71086328
104,545,2031,4.47758322
105,475,1248,2.75136576
106,500,1546,3.40834252
107,523,1705,3.7588771
108,534,1778,3.91981436
109,515,1531,3.37527322
110,636,3761,8.29157582
111,633,2614,5.76287668
112,650,3317,7.31272454
113,534,1997,4.40262614
114,631,2992,6.59622304
115,490,1409,3.10630958
116,688,2555,5.6328041
117,586,2439,5.37706818
118,586,2852,6.28757624
119,495,1597,3.52077814
120,527,2022,4.45774164
121,606,2638,5.81578756
122,515,1672,3.68612464
123,515,1736,3.82722032
124,556,2269,5.00228278
125,505,1337,2.94757694
126,516,1701,3.75005862
127,529,1999,4.40703538
128,525,1990,4.3871938
129,550,2134,4.70465908
130,454,1284,2.83073208
131,585,2723,6.00318026
132,531,1987,4.38057994
133,540,2106,4.64292972
134,469,1391,3.06662642
135,616,2943,6.48819666
136,536,1843,4.06311466
137,638,3231,7.12312722
138,447,1162,2.56176844
139,645,2897,6.38678414
140,605,2972,6.55213064
141,528,1863,4.10720706
142,620,2766,6.09797892
143,462,1291,2.84616442
144,504,1493,3.29149766
145,522,1803,3.97492986
146,601,2803,6.17954986
147,471,1373,3.02694326
148,510,1554,3.42597948
149,573,2425,5.3462035
150,530,1803,3.97492986
151,711,4789,10.55792518
152,519,1823,4.01902226
153,481,1348,2.97182776
154,466,1114,2.45594668
155,594,2765,6.0957743
156,496,1430,3.1526066
157,630,2690,5.9304278
158,670,4643,10.23605066
159,564,2134,4.70465908
160,585,2401,5.29329262
161,602,2885,6.3603287
162,454,1332,2.93655384
163,508,1637,3.60896294
164,543,1850,4.078547
165,671,3481,7.67428222
166,579,2536,5.59091632
167,509,1830,4.0344546
168,539,1882,4.14909484
169,511,1840,4.0565008
170,514,1740,3.8360388
171,706,4908,10.82027496
172,515,,
173,596,2378,5.24258636
174,587,2781,6.13104822
175,519,1718,3.78753716
176,535,1958,4.31664596
177,509,1708,3.76549096
178,532,1882,4.14909484
179,509,1525,3.3620455
180,656,3415,7.5287773
181,557,1864,4.10941168
182,495,1736,3.82722032
183,586,2146,4.73111452
184,502,1503,3.31354386
185,528,1800,3.968316
186,519,1597,3.52077814
187,466,1030,2.2707586
188,509,1684,3.71258008
189,640,3462,7.63239444
190,545,2209,4.87000558
191,505,1735,3.8250157
192,508,1847,4.07193314
193,615,2728,6.01420336
194,549,2094,4.61647428
195,538,1839,4.05429618
196,510,1874,4.13145788
197,456,1276,2.81309512
198,513,1788,3.94186056
199,551,1953,4.30562286
200,506,2028,4.47096936
201,535,1897,4.18216414
202,504,1685,3.7147847
203,596,2876,6.34048712
204,569,2384,5.25581408
205,465,1373,3.02694326
